ensembl_gene_id	chromosome_name	start_position	end_position	percentage_gene_gc_content	description
ENSG00000236097	22	15349467	15350043	41.94	BCL2 interacting protein 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39655]
ENSG00000236831	22	15489990	15492564	32.97	YME1L1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12844]
ENSG00000130538	22	15528159	15529139	43.43	olfactory receptor family 11 subfamily H member 1 [Source:HGNC Symbol;Acc:HGNC:15404]
ENSG00000237299	22	15541436	15578006	40.05	male sterility domain containing 1 (MLSTD1) pseudogene
ENSG00000235759	22	15550904	15553838	43.44	Rho GTPase activating protein 42 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:19327]
ENSG00000233408	22	15557577	15560694	37.01	novel transcript
ENSG00000215268	22	15562017	15564276	49.65	ubiquitin specific peptidase 10 (USP10) pseudogene
ENSG00000213727	22	15572089	15573265	53.44	single stranded DNA binding protein 3 (SSBP3) pseudogene
ENSG00000230643	22	15588361	15588478	46.61	chromosome 10 open reading frame 57 (C10orf57) pseudogene
ENSG00000230471	22	15600908	15604882	48.4	novel transcript
ENSG00000231565	22	15611759	15613096	43.5	NEK2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37816]
ENSG00000226474	22	15615402	15615578	64.41	nitric oxide synthase 2A (inducible, hepatocytes) (NOS2A) pseudogene.
ENSG00000224435	22	15622601	15632051	35.47	neurofibromin 1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:7771]
ENSG00000234381	22	15635180	15644330	56.49	mediator complex subunit 15 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:48656]
ENSG00000198062	22	15690026	15721631	37.08	POTE ankyrin domain family member H [Source:HGNC Symbol;Acc:HGNC:133]
ENSG00000236666	22	15699361	15703403	38.26	POTEH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40058]
ENSG00000212216	22	15701459	15701565	43.93	RNA, U6 small nuclear 816, pseudogene [Source:HGNC Symbol;Acc:HGNC:47779]
ENSG00000241838	22	15721486	15722608	57.79	actin, beta (ACTB) pseudogene
ENSG00000225255	22	15746630	15778297	44.3	long intergenic non-protein coding RNA 1297 [Source:NCBI gene;Acc:106146148]
ENSG00000235992	22	15749156	15750825	53.17	GRAM domain containing 4 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39654]
ENSG00000206195	22	15784959	15829984	41.82	double homeobox A pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:32187]
ENSG00000271127	22	15796959	15798346	32.93	novel transcript
ENSG00000232775	22	15805263	15820884	43.69	BMS1, ribosome biogenesis factor pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:51603]
ENSG00000272872	22	15823197	15823890	48.56	novel transcript, sense intronic to novel transcript
ENSG00000271672	22	15826566	15827187	41.32	double homeobox A pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:32187]
ENSG00000223875	22	15852990	15893942	41.73	neurobeachin pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:40004]
ENSG00000215270	22	15854195	15855243	61.68	translocase of outer mitochondrial membrane 40 homolog (TOMM40) pseudogene
ENSG00000229286	22	15901791	15901911	59.5	pseudogene similar to TBC1 domain family, member 3 TBC1D3
ENSG00000233866	22	15914721	15915800	42.13	novel transcript
ENSG00000278188	22	16141767	16141872	39.62	
ENSG00000225293	22	16387694	16390887	61.11	ATP binding cassette subfamily D member 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:65]
ENSG00000226160	22	16405330	16405417	38.64	zinc finger, CDGSH-type domain 2 (ZCD2) pseudogene
ENSG00000229658	22	16423943	16426031	42.51	poly(A) binding protein cytoplasmic 1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:37991]
ENSG00000227367	22	16428947	16476870	37.31	solute carrier family 9 member B1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43583]
ENSG00000280263	22	16486985	16488322	40.21	
ENSG00000235969	22	16503304	16509475	46.05	checkpoint kinase 2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43580]
ENSG00000273362	22	16521059	16527237	44.36	novel transcript
ENSG00000233995	22	16572027	16574637	29.99	phosphoinositide-3-kinase, catalytic, alpha polypeptide (PIK3CA) pseudogene
ENSG00000239435	22	16575363	16582707	35.28	potassium calcium-activated channel subfamily M regulatory beta subunit 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:6288]
ENSG00000198445	22	16590751	16592810	55.19	chaperonin containing TCP1 subunit 8 like 2 [Source:HGNC Symbol;Acc:HGNC:15553]
ENSG00000240122	22	16595089	16595485	44.84	fatty acid binding protein 5 pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:19328]
ENSG00000100181	22	16601887	16698742	40.4	TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]
ENSG00000283633	22	16601911	16615111	47.93	novel transcript
ENSG00000267338	22	16616170	16617114	37.25	novel transcript
ENSG00000249288	22	16645695	16646581	42.62	solute carrier family 25 member 15 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:39846]
ENSG00000249263	22	16653892	16659628	41.19	poly(ADP-ribose) polymerase family member 4 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:274]
ENSG00000189295	22	16654066	16675540	38.61	ANKRD62P1-PARP4P3 readthrough, transcribed pseudogene [Source:HGNC Symbol;Acc:HGNC:42393]
ENSG00000259271	22	16671090	16679493	34.28	ankyrin repeat domain 62 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42363]
ENSG00000273244	22	16676016	16694648	37.01	VWFP1-ANKRD62P1 readthrough transcript
ENSG00000241717	22	16690103	16704477	48.9	von Willebrand factor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:12727]
ENSG00000235343	22	16746869	16748645	46.31	long intergenic non-protein coding RNA 1665 [Source:HGNC Symbol;Acc:HGNC:52453]
ENSG00000172967	22	16783412	16821699	35.87	XK related 3 [Source:HGNC Symbol;Acc:HGNC:28778]
ENSG00000229027	22	16827474	16829335	34.48	HSFY1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:1846]
ENSG00000234121	22	16837522	16837666	36.55	glycoprotein M6B pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:38783]
ENSG00000283535	22	16844399	16846357	59.57	novel pseudogene
ENSG00000237835	22	16855804	16856162	36.49	Zinc finger protein pseudogene
ENSG00000220248	22	16857619	16860718	47.87	zinc finger protein 402, pseudogene [Source:HGNC Symbol;Acc:HGNC:19292]
ENSG00000237689	22	16869478	16871126	45.91	novel transcript
ENSG00000228122	22	16876218	16876421	40.2	MT-ND1 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:42095]
ENSG00000237358	22	16876552	16876902	48.43	tripartite motif-containing 43 (TRIM43) pseudogene
ENSG00000225480	22	16897445	16897546	43.14	N-acetylated alpha-linked acidic dipeptidase 2 (NAALAD2) pseudogene
ENSG00000230481	22	16904219	16904696	48.54	immunoglobulin kappa variable 1/OR22-5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5773]
ENSG00000253691	22	16914235	16914981	45.11	immunoglobulin kappa variable 2/OR22-4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5813]
ENSG00000253460	22	16921443	16922173	45.14	immunoglobulin kappa variable 2/OR22-3 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5812]
ENSG00000254264	22	16925952	16926444	46.25	immunoglobulin kappa variable 3/OR22-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5833]
ENSG00000253481	22	16933521	16934003	49.9	immunoglobulin kappa variable 1/OR22-1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5772]
ENSG00000285045	22	16953895	16956808	52.13	ubiquitin specific peptidase 35 (USP35) pseudogene
ENSG00000215568	22	16961936	17008222	45.23	GRB2 associated binding protein family member 4 [Source:HGNC Symbol;Acc:HGNC:18325]
ENSG00000270226	22	17012404	17012932	62.19	interleukin 9 receptor (IL9R) pseudogene
ENSG00000276400	22	17021398	17022570	45.78	vomeronasal 1 receptor 9 pseudogene [Source:HGNC Symbol;Acc:HGNC:20257]
ENSG00000237438	22	17036570	17060825	43.87	cat eye syndrome chromosome region, candidate 7 [Source:HGNC Symbol;Acc:HGNC:1845]
ENSG00000273203	22	17067821	17070675	41.61	novel transcript
ENSG00000273442	22	17080701	17081456	41.67	novel transcript
ENSG00000177663	22	17084954	17115694	50.68	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]
ENSG00000235328	22	17093612	17093939	48.17	ribosomal protein L31 (RPL31) pseudogene
ENSG00000183307	22	17116299	17121367	60.41	transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]
ENSG00000235478	22	17121586	17132104	45.98	long intergenic non-protein coding RNA 1664 [Source:HGNC Symbol;Acc:HGNC:52452]
ENSG00000069998	22	17137511	17165287	50.12	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]
ENSG00000185837	22	17159384	17165445	49.27	HDHD5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:1842]
ENSG00000093072	22	17178790	17258235	48.88	adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]
ENSG00000236325	22	17192936	17193308	49.33	60S ribosomal protein L32 (RPL32) pseudogene
ENSG00000203416	22	17213516	17214155	50.16	family with sequence similarity 32 member B, pseudogene [Source:HGNC Symbol;Acc:HGNC:30945]
ENSG00000241832	22	17256859	17266733	51.67	cat eye syndrome chromosome region, candidate 3 [Source:HGNC Symbol;Acc:HGNC:1841]
ENSG00000231004	22	17329034	17329232	45.23	cat eye syndrome chromosome region, candidate 9 [Source:HGNC Symbol;Acc:HGNC:1847]
ENSG00000239547	22	17352881	17353177	52.86	RNA, 7SL, cytoplasmic 843, pseudogene [Source:HGNC Symbol;Acc:HGNC:46859]
ENSG00000099954	22	17359949	17558149	44.03	CECR2, histone acetyl-lysine reader [Source:HGNC Symbol;Acc:HGNC:1840]
ENSG00000229492	22	17418697	17419828	56.54	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2IP) pseudogene
ENSG00000232305	22	17424388	17424775	51.29	Charcot-Leyden crystal protein pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19257]
ENSG00000228045	22	17518676	17519029	43.22	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39342]
ENSG00000182902	22	17563439	17590994	50.89	solute carrier family 25 member 18 [Source:HGNC Symbol;Acc:HGNC:10988]
ENSG00000236754	22	17580157	17589192	52.6	novel transcript
ENSG00000131100	22	17592136	17628818	45.05	ATPase H+ transporting V1 subunit E1 [Source:HGNC Symbol;Acc:HGNC:857]
ENSG00000099968	22	17628855	17730855	42.8	BCL2 like 13 [Source:HGNC Symbol;Acc:HGNC:17164]
ENSG00000015475	22	17734138	17774770	52.51	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]
ENSG00000264757	22	17764180	17764259	56.25	microRNA 3198-1 [Source:HGNC Symbol;Acc:HGNC:38236]
ENSG00000269220	22	17777322	17779481	54.86	long intergenic non-protein coding RNA 528 [Source:HGNC Symbol;Acc:HGNC:26875]
ENSG00000243156	22	17787649	18024559	49.78	microtubule associated monooxygenase, calponin and LIM domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24694]
ENSG00000093100	22	17787652	17811497	53.69	novel transcript
ENSG00000207780	22	17980868	17980961	63.83	microRNA 648 [Source:HGNC Symbol;Acc:HGNC:32904]
ENSG00000235445	22	17983205	17983619	53.98	novel transcript
ENSG00000234913	22	18004270	18007308	46.17	novel transcript
ENSG00000237446	22	18019214	18020200	48.23	RHEB pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44992]
ENSG00000235295	22	18029385	18037968	46.44	long intergenic non-protein coding RNA 1634 [Source:HGNC Symbol;Acc:HGNC:52421]
ENSG00000225335	22	18076527	18078884	51.74	novel transcript
ENSG00000215193	22	18077920	18131138	48.63	peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]
ENSG00000236890	22	18081466	18081675	55.24	ribosomal protein L18a (RPL18A) pseudogene
ENSG00000235617	22	18101612	18101888	49.46	neurexin (NRXN) pseudogene
ENSG00000225225	22	18102457	18103649	43.42	ADP ribosylation factor like GTPase 2 binding protein pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:39454]
ENSG00000183785	22	18110331	18146554	48.29	tubulin alpha 8 [Source:HGNC Symbol;Acc:HGNC:12410]
ENSG00000280007	22	18110759	18131154	50.7	novel transcript, antisense to TUBA8
ENSG00000184979	22	18149899	18177397	48.15	ubiquitin specific peptidase 18 [Source:HGNC Symbol;Acc:HGNC:12616]
ENSG00000187979	22	18178038	18205915	39.24	long intergenic non-protein coding RNA 2592 [Source:HGNC Symbol;Acc:HGNC:53910]
ENSG00000276160	22	18340145	18345899	57.25	gamma-glutamyltransferase light chain 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:33427]
ENSG00000274044	22	18361823	18391105	40.65	long intergenic non-protein coding RNA 1660 [Source:HGNC Symbol;Acc:HGNC:52448]
ENSG00000276874	22	18374106	18375689	37.88	novel transcript
ENSG00000275060	22	18400407	18404206	61.16	protein phosphatase 1 regulatory subunit 26 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:42017]
ENSG00000277870	22	18422244	18500594	41.22	family with sequence similarity 230 member A [Source:HGNC Symbol;Acc:HGNC:45045]
ENSG00000277017	22	18486999	18491247	42.22	novel transcript
ENSG00000278044	22	18501794	18512187	49.11	novel transcript
ENSG00000274252	22	18516344	18518161	61.94	gamma-glutamyltransferase light chain family member 3 [Source:HGNC Symbol;Acc:HGNC:33426]
ENSG00000275319	22	18524620	18524935	50.95	
ENSG00000277690	22	18527157	18527626	38.72	transmembrane protein 191A [Source:NCBI gene;Acc:100996401]
ENSG00000278558	22	18527802	18530573	67.82	transmembrane protein 191B [Source:HGNC Symbol;Acc:HGNC:33600]
ENSG00000274602	22	18533646	18577968	55.83	phosphatidylinositol 4-kinase alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33576]
ENSG00000274625	22	18605355	18605497	55.24	
ENSG00000222630	22	18605802	18606102	49.17	RNA, 7SK small nuclear pseudogene 131 [Source:HGNC Symbol;Acc:HGNC:45855]
ENSG00000275793	22	18605815	18611919	62.54	RIMS binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29344]
ENSG00000275362	22	18615581	18615900	55.31	
ENSG00000278110	22	18623339	18625289	63.51	sushi domain containing 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35197]
ENSG00000273907	22	18636445	18638405	62.93	carbonic anhydrase 15 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14916]
ENSG00000273643	22	18650023	18653617	61.47	protein phosphatase 1 regulatory subunit 26 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:42016]
ENSG00000278008	22	18715815	18719341	61.72	protein phosphatase 1 regulatory subunit 26 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42018]
ENSG00000182824	22	18733914	18757906	42.52	long intergenic non-protein coding RNA 1662 [Source:HGNC Symbol;Acc:HGNC:52450]
ENSG00000197421	22	18773665	18843399	47.96	gamma-glutamyltransferase 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:4252]
ENSG00000239989	22	18794414	18794804	55.24	immunoglobulin superfamily, member 3 (IGSF3) pseudogene
ENSG00000234764	22	18833694	18834438	45.23	E2F transcription factor 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51449]
ENSG00000161103	22	18846811	18861049	55.41	POM121 transmembrane nucleoporin (POM121) pseudogene
ENSG00000215544	22	18855621	18858640	59.64	breakpoint cluster region pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39075]
ENSG00000276095	22	18873543	18894407	38.82	long intergenic non-protein coding RNA 1663 [Source:HGNC Symbol;Acc:HGNC:52451]
ENSG00000279987	22	18883502	18884682	49.79	novel transcript
ENSG00000183628	22	18906028	18914238	59.31	DiGeorge syndrome critical region gene 6 [Source:HGNC Symbol;Acc:HGNC:2846]
ENSG00000283809	22	18906238	18947732	54.61	novel protein
ENSG00000100033	22	18912777	18936553	58.95	proline dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:9453]
ENSG00000284294	22	18936411	18947741	43.24	novel transcript
ENSG00000280418	22	18951934	18959512	61.22	novel transcript
ENSG00000237517	22	18970514	18994628	53.84	DiGeorge syndrome critical region gene 5 [Source:HGNC Symbol;Acc:HGNC:16757]
ENSG00000273032	22	18970525	19031242	50.18	DiGeorge syndrome critical region gene 9 [Source:HGNC Symbol;Acc:HGNC:17227]
ENSG00000283583	22	18980695	18981325	45.17	fructosamine 3 kinase (FN3K) pseudogene
ENSG00000271275	22	18997138	18997595	59.39	POM121 transmembrane nucleoporin (POM121) pseudogene
ENSG00000283366	22	19014353	19014506	51.95	sperm antigen with calponin homology and coiled-coil domains 1-like (SPECC1L) pseudogene
ENSG00000270393	22	19018043	19018916	59.27	POM121 transmembrane nucleoporin (POM121) pseudogene
ENSG00000273164	22	19023056	19023550	61.41	DiGeorge syndrome critical region gene 10 [Source:HGNC Symbol;Acc:HGNC:17864]
ENSG00000241527	22	19031564	19034564	61.75	carbonic anhydrase 15 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44364]
ENSG00000070413	22	19036282	19122454	48.62	DiGeorge syndrome critical region gene 2 [Source:HGNC Symbol;Acc:HGNC:2845]
ENSG00000206739	22	19045256	19045367	44.64	
ENSG00000273311	22	19046162	19048375	49.01	DiGeorge syndrome critical region gene 11 [Source:HGNC Symbol;Acc:HGNC:17226]
ENSG00000237347	22	19055801	19056512	57.58	60S ribosomal protein L28 (RPL28) pseudogene
ENSG00000281530	22	19061041	19061843	48.82	DiGeorge syndrome critical region gene 12 (non-protein coding)
ENSG00000223461	22	19121529	19124503	59.83	novel transcript
ENSG00000272682	22	19124309	19128449	58.3	novel transcript
ENSG00000231086	22	19124879	19125646	57.03	testis specific serine kinase 1A, pseudogene [Source:HGNC Symbol;Acc:HGNC:11400]
ENSG00000100056	22	19130279	19144684	55.92	ess-2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:16817]
ENSG00000206203	22	19130808	19132623	58.2	testis specific serine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11401]
ENSG00000063515	22	19148576	19150283	70.67	goosecoid homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4613]
ENSG00000260924	22	19171395	19172839	63.11	long intergenic non-protein coding RNA 1311 [Source:HGNC Symbol;Acc:HGNC:50503]
ENSG00000100075	22	19175575	19178830	67.54	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]
ENSG00000070371	22	19179473	19291716	46.41	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]
ENSG00000230194	22	19238443	19238739	48.82	ribosomal protein L34 (RPL34) pseudogene
ENSG00000251940	22	19249873	19249966	36.17	
ENSG00000233471	22	19257520	19258806	53.46	keratin 18 pseudogene 62 [Source:HGNC Symbol;Acc:HGNC:48889]
ENSG00000100084	22	19330698	19447450	46.11	histone cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:4916]
ENSG00000242259	22	19351368	19448232	47.03	chromosome 22 open reading frame 39 [Source:HGNC Symbol;Acc:HGNC:27012]
ENSG00000244296	22	19365766	19366044	49.1	RNA, 7SL, cytoplasmic 168, pseudogene [Source:HGNC Symbol;Acc:HGNC:46184]
ENSG00000185608	22	19431902	19436075	51.63	mitochondrial ribosomal protein L40 [Source:HGNC Symbol;Acc:HGNC:14491]
ENSG00000185065	22	19447893	19450105	49.84	novel transcript, antisense to C22orf39
ENSG00000070010	22	19449910	19479215	46.94	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]
ENSG00000273300	22	19454179	19454605	48.95	novel transcript, antisense to UFD1L
ENSG00000273212	22	19456503	19456962	52.83	novel transcript, antisense to UFD1L
ENSG00000093009	22	19479459	19520612	48.03	cell division cycle 45 [Source:HGNC Symbol;Acc:HGNC:1739]
ENSG00000184113	22	19523024	19527545	63.73	claudin 5 [Source:HGNC Symbol;Acc:HGNC:2047]
ENSG00000281548	22	19565203	19566839	54.06	long intergenic non-protein coding RNA 895 [Source:HGNC Symbol;Acc:HGNC:48580]
ENSG00000230485	22	19630750	19633574	51.19	chromosome 3 open reading frame 38 (C3orf38) pseudogene
ENSG00000225007	22	19667023	19667555	56.29	novel transcript
ENSG00000184702	22	19714464	19724224	66.61	septin 5 [Source:HGNC Symbol;Acc:HGNC:9164]
ENSG00000284874	22	19717220	19724772	67.15	SEPT5-GP1BB readthrough [Source:NCBI gene;Acc:100526833]
ENSG00000203618	22	19722945	19724771	70.83	glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]
ENSG00000184058	22	19756703	19783593	57.77	T-box 1 [Source:HGNC Symbol;Acc:HGNC:11592]
ENSG00000185838	22	19783224	19854939	52.87	G protein subunit beta 1 like [Source:HGNC Symbol;Acc:HGNC:4397]
ENSG00000235776	22	19792294	19793094	52.06	ribosomal protein L7a (RPL7A) pseudogene
ENSG00000215012	22	19846138	19854896	55.11	retrotransposon Gag like 10 [Source:HGNC Symbol;Acc:HGNC:26112]
ENSG00000184470	22	19875517	19941992	54.14	thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155]
ENSG00000232926	22	19887289	19887970	57.62	ribosomal protein L8 (RPL8) pseudogene
ENSG00000093010	22	19941607	19969975	53.41	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]
ENSG00000284031	22	19963753	19963834	62.2	microRNA 4761 [Source:HGNC Symbol;Acc:HGNC:41591]
ENSG00000099889	22	19969896	20016808	58.03	ARVCF, delta catenin family member [Source:HGNC Symbol;Acc:HGNC:728]
ENSG00000183597	22	20017014	20065926	54.58	transport and golgi organization 2 homolog [Source:HGNC Symbol;Acc:HGNC:25439]
ENSG00000208023	22	20033139	20033220	63.41	microRNA 185 [Source:HGNC Symbol;Acc:HGNC:31556]
ENSG00000236540	22	20058030	20070569	54.75	novel transcript, antisense to C22orf25
ENSG00000268292	22	20064552	20065705	55.11	novel transcript, antisense to C22orf25
ENSG00000277950	22	20070716	20070965	53.2	
ENSG00000128191	22	20080232	20111877	52.21	DGCR8, microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]
ENSG00000284140	22	20085746	20085833	39.77	microRNA 3618 [Source:HGNC Symbol;Acc:HGNC:38937]
ENSG00000284464	22	20086058	20086142	58.82	microRNA 1306 [Source:HGNC Symbol;Acc:HGNC:35371]
ENSG00000243762	22	20110821	20111875	52.51	novel transcript, antisense to DGCR8
ENSG00000099899	22	20111866	20117392	63.27	tRNA methyltransferase 2 homolog A [Source:HGNC Symbol;Acc:HGNC:24974]
ENSG00000278278	22	20114686	20114751	68.18	microRNA 6816 [Source:HGNC Symbol;Acc:HGNC:50256]
ENSG00000099901	22	20115938	20127357	57.69	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]
ENSG00000264346	22	20126402	20126526	55.2	
ENSG00000099904	22	20129456	20148007	63.57	zinc finger DHHC-type containing 8 [Source:HGNC Symbol;Acc:HGNC:18474]
ENSG00000234409	22	20148427	20151065	68.78	coiled-coil domain containing 188 [Source:HGNC Symbol;Acc:HGNC:51899]
ENSG00000249923	22	20198729	20204918	56.48	uncharacterized LOC284865 [Source:NCBI gene;Acc:284865]
ENSG00000236499	22	20206397	20208524	61.09	long intergenic non-protein coding RNA 896 [Source:HGNC Symbol;Acc:HGNC:26519]
ENSG00000040608	22	20241415	20283246	60.45	reticulon 4 receptor [Source:HGNC Symbol;Acc:HGNC:18601]
ENSG00000221039	22	20249134	20249211	55.13	microRNA 1286 [Source:HGNC Symbol;Acc:HGNC:35279]
ENSG00000161132	22	20299760	20313216	57.9	proline dehydrogenase (oxidase) 1 (PRODH) pseudogene
ENSG00000128185	22	20314276	20320080	57.73	DiGeorge syndrome critical region gene 6 like [Source:HGNC Symbol;Acc:HGNC:18551]
ENSG00000273343	22	20318119	20318749	45.32	novel transcript, sense intronic to DGCR6L
ENSG00000273139	22	20320739	20321203	56.13	novel transcript
ENSG00000188280	22	20338805	20354372	41.2	uncharacterized LOC101927859 [Source:NCBI gene;Acc:101927859]
ENSG00000235578	22	20343203	20344365	50.47	novel transcript
ENSG00000161133	22	20350578	20390758	49.17	ubiquitin specific peptidase 41 [Source:HGNC Symbol;Acc:HGNC:20070]
ENSG00000185252	22	20394115	20408461	50.81	zinc finger protein 74 [Source:HGNC Symbol;Acc:HGNC:13144]
ENSG00000207343	22	20416797	20416899	45.63	RNA, U6 small nuclear 225, pseudogene [Source:HGNC Symbol;Acc:HGNC:47188]
ENSG00000244486	22	20424815	20437826	63.11	scavenger receptor class F member 2 [Source:HGNC Symbol;Acc:HGNC:19869]
ENSG00000277971	22	20429241	20446620	59.6	novel transcript
ENSG00000099910	22	20441519	20495883	49.11	kelch like family member 22 [Source:HGNC Symbol;Acc:HGNC:25888]
ENSG00000215493	22	20450122	20451824	48.09	kelch-like 12 (Drosophila) (KLH12) pseudogene
ENSG00000255156	22	20475203	20475311	44.95	RNA, Ro-associated Y1 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:41481]
ENSG00000201916	22	20481158	20481268	42.34	
ENSG00000242876	22	20481935	20482213	52.69	RNA, 7SL, cytoplasmic 812, pseudogene [Source:HGNC Symbol;Acc:HGNC:46828]
ENSG00000236670	22	20482815	20484105	54.69	keratin 18 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:19259]
ENSG00000099917	22	20495913	20587632	50.5	mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248]
ENSG00000236003	22	20522070	20523870	47.36	novel transcript
ENSG00000250261	22	20587496	20592218	60.32	coiled-coil domain containing 74B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:51917]
ENSG00000223553	22	20602595	20656914	51.29	sphingomyelin phosphodiesterase 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39673]
ENSG00000276427	22	20632619	20632751	54.89	immunoglobulin lambda like polypeptide 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:38475]
ENSG00000238125	22	20652730	20654750	53.64	solute carrier family 9 member 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19325]
ENSG00000229107	22	20667836	20670984	67.29	abhydrolase domain containing 17A pseudogene P4 [Source:HGNC Symbol;Acc:HGNC:34042]
ENSG00000217261	22	20689929	20698938	56.32	POM121 transmembrane nucleoporin like 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:19326]
ENSG00000235062	22	20697962	20698934	57.97	breakpoint cluster region pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:1018]
ENSG00000226287	22	20701114	20704606	61.84	transmembrane protein 191A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25317]
ENSG00000241973	22	20707691	20859417	47.81	phosphatidylinositol 4-kinase alpha [Source:HGNC Symbol;Acc:HGNC:8983]
ENSG00000099937	22	20773879	20787720	46.5	serpin family D member 1 [Source:HGNC Symbol;Acc:HGNC:4838]
ENSG00000099940	22	20858983	20891218	48.86	synaptosome associated protein 29 [Source:HGNC Symbol;Acc:HGNC:11133]
ENSG00000272600	22	20889206	20891214	44.95	novel transcript, antisense to SNAP29
ENSG00000099942	22	20917426	20953749	45.76	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]
ENSG00000237476	22	20957092	20964679	55.28	long intergenic non-protein coding RNA 1637 [Source:HGNC Symbol;Acc:HGNC:52424]
